Temperature,Humidity,MQ135_PPM,Heart_Rate,SpO2,GPS_Lat,GPS_Lon,Risk_Level
41.9,84.2,323.8,119,88,23.795185,86.430604,2
37.0,80.3,175.5,110,89,23.794863,86.431235,2
34.8,60.8,122.6,92,93,23.796421,86.430777,1
52.3,95.7,604.9,164,80,23.796658,86.430066,3
27.6,59.3,43.9,74,98,23.796398,86.430886,0
42.3,95.0,787.9,142,78,23.794945,86.429766,3
33.0,68.0,87.0,104,93,23.795999,86.430227,1
39.6,79.0,360.8,137,90,23.79475,86.429842,2
33.5,75.3,111.4,96,93,23.795313,86.430117,1
29.8,54.6,10.6,68,99,23.795279,86.430721,0
23.5,46.1,49.1,75,98,23.796216,86.430717,0
28.3,57.6,21.0,63,99,23.795926,86.430914,0
40.3,82.4,323.3,115,89,23.795378,86.431384,2
48.4,91.4,468.6,156,72,23.79486,86.429831,3
31.6,65.2,94.3,96,93,23.795555,86.429734,1
33.7,71.9,81.3,101,94,23.796463,86.4303,1
22.7,61.7,37.0,69,98,23.796584,86.431017,0
32.3,71.5,53.3,90,94,23.795326,86.4301,1
35.2,64.7,77.1,94,93,23.796133,86.430023,1
40.3,85.8,241.0,130,91,23.795578,86.430253,2
32.6,70.7,119.9,98,94,23.795928,86.430786,1
28.8,47.0,13.4,86,98,23.796273,86.429406,0
32.2,62.4,59.4,97,94,23.796073,86.430172,1
34.9,69.5,127.8,99,94,23.79669,86.431303,1
34.3,78.8,341.6,110,88,23.795897,86.43111,2
44.4,91.2,451.2,142,84,23.795515,86.430954,3
28.4,51.3,24.3,63,99,23.795457,86.431023,0
21.6,49.9,18.5,72,97,23.794884,86.42958,0
20.0,57.8,10.2,66,97,23.795703,86.429953,0
29.1,55.0,29.7,87,98,23.795606,86.429881,0
33.1,58.3,120.7,102,94,23.795539,86.430878,1
21.1,43.1,23.9,89,99,23.796466,86.430222,0
30.3,66.1,52.4,101,94,23.796236,86.430111,1
28.6,45.8,46.8,63,99,23.794716,86.430261,0
22.6,55.3,48.1,67,99,23.795865,86.431143,0
34.9,68.1,112.4,105,94,23.795348,86.43067,1
24.4,56.7,20.8,79,98,23.795807,86.429627,0
37.1,83.2,158.2,120,90,23.79496,86.429555,2
37.1,88.4,312.3,116,91,23.795367,86.42976,2
31.2,61.0,125.2,92,93,23.79642,86.430314,1
22.5,55.4,30.6,69,99,23.795628,86.42967,0
24.3,57.5,20.7,78,97,23.795693,86.430394,0
36.3,86.9,282.3,110,88,23.795572,86.431123,2
32.7,63.1,56.0,98,93,23.795476,86.429504,1
21.3,47.2,17.5,81,97,23.79476,86.430749,0
33.2,66.5,84.5,98,93,23.79659,86.430617,1
38.7,83.7,234.3,121,91,23.795698,86.431238,2
28.1,40.0,42.9,82,97,23.79542,86.430905,0
26.0,51.7,25.8,68,98,23.794893,86.430078,0
46.2,94.6,671.6,167,83,23.79594,86.431006,3
33.6,75.6,94.6,107,94,23.796215,86.431138,1
41.0,83.4,366.3,116,91,23.795017,86.431042,2
32.0,66.0,69.0,107,93,23.795131,86.430485,1
21.4,46.0,33.0,81,98,23.79528,86.431255,0
36.0,74.2,303.5,117,89,23.794756,86.430915,2
36.2,79.1,319.6,128,89,23.795297,86.431331,2
36.8,80.3,264.2,115,90,23.796056,86.42941,2
32.3,71.3,63.3,97,93,23.795542,86.430794,1
22.8,56.1,35.9,85,97,23.79544,86.430098,0
37.9,80.0,268.7,117,91,23.796243,86.429863,2
27.8,48.5,13.9,86,97,23.796145,86.430369,0
39.1,88.2,335.5,118,91,23.795765,86.431245,2
31.0,62.0,145.7,94,93,23.796167,86.431158,1
27.6,55.5,41.8,86,97,23.79655,86.430967,0
27.5,57.9,14.7,65,99,23.794701,86.429965,0
25.0,47.0,43.7,87,98,23.795339,86.43037,0
33.5,68.7,74.9,93,93,23.795894,86.431341,1
33.0,67.6,122.4,102,94,23.794869,86.43129,1
26.6,36.2,46.2,74,99,23.796557,86.431187,0
27.3,52.0,30.2,86,96,23.796164,86.430433,0
21.7,52.1,34.0,72,98,23.795453,86.430412,0
48.4,91.1,462.2,144,76,23.796232,86.431105,3
30.8,69.2,59.0,103,94,23.796637,86.429643,1
22.0,62.7,48.2,87,99,23.79516,86.429924,0
33.1,70.8,101.6,94,94,23.795851,86.430785,1
26.1,43.1,40.1,85,96,23.79611,86.429941,0
38.3,86.7,249.1,122,90,23.796486,86.43135,2
51.4,94.6,679.2,147,70,23.796606,86.431371,3
36.2,85.9,354.9,115,88,23.796675,86.430745,2
37.4,85.1,195.6,137,89,23.79561,86.430291,2
18.9,62.5,42.3,72,97,23.796018,86.429716,0
31.2,62.5,85.1,108,93,23.794887,86.429491,1
22.5,46.8,46.3,61,96,23.796467,86.429914,0
24.0,53.0,32.7,89,96,23.796356,86.430482,0
28.3,58.8,15.7,65,98,23.795171,86.429687,0
31.8,72.1,133.8,96,93,23.796662,86.42943,1
32.0,66.7,100.1,98,94,23.796019,86.429527,1
40.6,77.2,283.8,128,91,23.795027,86.430599,2
34.0,69.7,94.1,97,93,23.795833,86.429412,1
34.6,74.6,82.2,95,94,23.795882,86.430615,1
31.2,59.3,121.9,101,94,23.795643,86.431209,1
23.1,44.3,23.6,65,98,23.795701,86.430222,0
32.0,66.7,77.8,95,93,23.796565,86.429722,1
21.5,47.3,12.3,84,99,23.794771,86.430743,0
29.7,62.5,76.7,93,94,23.795476,86.431061,1
32.9,63.1,109.2,98,93,23.796301,86.430279,1
26.7,58.8,31.0,86,97,23.796223,86.429859,0
21.3,47.4,15.9,62,96,23.795957,86.43016,0
30.3,59.7,34.5,76,99,23.794853,86.429621,0
30.0,61.1,146.6,90,94,23.795641,86.430851,1
25.0,47.3,14.0,67,98,23.79604,86.430583,0
34.7,72.1,89.8,90,94,23.794743,86.431297,1
25.9,48.7,20.6,75,98,23.795325,86.430245,0
33.7,61.1,124.6,94,93,23.796161,86.430697,1
23.8,45.7,29.8,86,98,23.795207,86.429467,0
27.2,45.4,13.8,69,98,23.796398,86.429608,0
30.9,70.2,83.9,107,94,23.794851,86.430602,1
33.8,66.5,114.9,109,94,23.796183,86.430933,1
35.9,74.4,146.2,91,93,23.795254,86.430492,1
32.9,68.2,126.9,90,93,23.795834,86.430198,1
33.6,69.6,52.2,92,94,23.795709,86.43049,1
45.3,96.7,925.7,163,81,23.796689,86.431352,3
37.6,84.6,188.4,125,88,23.79538,86.429865,2
25.0,41.4,19.6,60,96,23.795162,86.431224,0
23.7,48.8,11.3,88,97,23.796362,86.430226,0
41.1,76.6,271.9,123,88,23.796297,86.430745,2
29.8,47.5,25.4,74,97,23.795511,86.430341,0
40.2,81.7,367.2,139,89,23.796018,86.430375,2
33.5,59.5,60.4,96,94,23.795825,86.430976,1
35.1,71.7,146.7,104,93,23.79474,86.429988,1
37.0,78.2,321.4,138,91,23.795214,86.430963,2
39.7,91.5,259.4,128,89,23.795175,86.429548,2
22.3,55.6,16.0,86,96,23.796219,86.430489,0
31.6,69.1,55.2,107,94,23.796023,86.431055,1
37.8,79.2,265.2,122,89,23.7963,86.431057,2
28.0,54.0,33.0,88,98,23.795523,86.429529,0
32.5,61.6,111.3,96,94,23.794793,86.431381,1
33.0,62.6,90.7,94,93,23.796255,86.429703,1
30.5,62.6,54.6,90,93,23.794757,86.430302,1
37.8,82.6,224.3,125,91,23.795561,86.43021,2
20.9,55.6,44.1,87,97,23.794884,86.430686,0
21.1,45.0,36.7,75,98,23.795023,86.430115,0
31.8,66.7,132.6,96,93,23.794711,86.431108,1
25.6,54.9,26.7,70,99,23.795564,86.431222,0
28.1,54.4,47.4,61,97,23.795492,86.42966,0
23.0,43.7,23.1,64,97,23.796161,86.431183,0
29.5,71.8,91.0,104,93,23.794982,86.43067,1
38.9,77.3,295.5,130,88,23.795105,86.430183,2
23.2,47.9,12.8,87,96,23.795913,86.430713,0
22.3,54.5,37.0,86,97,23.795597,86.431062,0
23.1,59.0,27.5,70,99,23.795289,86.431369,0
40.8,86.1,277.9,133,88,23.796171,86.431245,2
53.7,94.2,832.9,144,78,23.794912,86.431044,3
29.5,47.3,31.6,67,98,23.796426,86.430467,0
31.4,42.7,36.5,76,96,23.794704,86.42984,0
33.7,70.1,50.1,91,94,23.795781,86.429528,1
22.0,43.3,20.6,69,96,23.794702,86.430656,0
23.8,51.5,31.8,75,99,23.79645,86.429656,0
32.2,48.3,41.1,89,96,23.796382,86.431264,0
42.3,87.7,211.7,118,91,23.795831,86.430076,2
29.4,73.9,115.0,101,94,23.795959,86.431209,1
31.1,75.7,98.4,106,94,23.796474,86.430149,1
33.8,65.8,138.9,101,94,23.796079,86.431388,1
33.4,67.9,77.4,108,93,23.796559,86.430054,1
20.8,46.5,16.7,86,97,23.796692,86.430339,0
32.5,69.9,148.1,106,94,23.795311,86.429795,1
25.0,51.5,42.9,64,96,23.795622,86.43022,0
45.4,93.7,559.1,152,74,23.795267,86.431319,3
22.6,52.4,24.1,64,97,23.796087,86.430744,0
53.0,91.7,486.6,175,83,23.79491,86.429989,3
34.3,86.7,166.7,121,91,23.795089,86.430627,2
22.5,42.7,25.0,60,99,23.795861,86.430238,0
43.9,95.7,757.6,171,79,23.795386,86.429818,3
37.3,80.1,157.6,131,91,23.79575,86.431168,2
32.3,63.5,148.0,92,94,23.796162,86.429585,1
29.4,40.8,37.3,77,96,23.796067,86.430542,0
19.7,56.5,11.0,70,99,23.796105,86.43007,0
34.7,70.3,145.6,108,93,23.795572,86.43013,1
36.8,77.6,242.6,128,91,23.795426,86.430256,2
33.0,60.0,123.6,98,94,23.796283,86.430822,1
24.6,56.9,10.7,63,98,23.796358,86.430491,0
21.8,45.1,24.2,88,96,23.796265,86.430115,0
50.4,97.8,502.7,162,85,23.795361,86.431167,3
34.2,75.7,110.8,97,93,23.79602,86.430729,1
22.4,47.8,24.4,79,99,23.79553,86.431328,0
21.9,52.2,24.5,88,97,23.796501,86.429566,0
35.7,68.2,51.9,94,94,23.795414,86.429631,1
37.1,83.8,351.4,130,88,23.794772,86.430856,2
23.2,50.1,17.7,81,98,23.79557,86.430415,0
40.6,79.2,329.0,134,88,23.79617,86.430918,2
40.5,77.9,185.1,122,88,23.795325,86.42977,2
23.8,58.8,14.4,79,97,23.794842,86.431388,0
26.8,40.9,20.5,63,96,23.795049,86.431209,0
34.5,69.9,81.2,96,93,23.796666,86.430701,1
21.7,44.5,18.7,85,96,23.795716,86.431338,0
36.4,85.8,330.7,112,90,23.796522,86.430939,2
36.1,89.2,220.1,134,90,23.795087,86.431069,2
49.8,94.4,886.6,175,86,23.795321,86.430606,3
41.3,80.4,253.1,110,88,23.796626,86.43043,2
33.4,61.6,126.9,102,93,23.795025,86.430407,1
49.7,92.5,947.1,157,74,23.796239,86.429873,3
35.3,76.4,126.4,104,94,23.794734,86.430289,1
42.3,90.7,304.1,114,89,23.796104,86.431126,2
36.9,75.8,296.2,114,89,23.795256,86.43059,2
31.7,62.0,98.4,101,94,23.795308,86.431191,1
28.4,42.5,26.3,74,96,23.794826,86.429557,0
39.7,78.7,252.0,111,90,23.796223,86.431271,2
36.3,77.4,196.9,121,91,23.795829,86.429976,2
22.6,48.4,19.2,79,98,23.796419,86.431181,0
34.1,71.3,62.4,95,94,23.796613,86.429875,1
33.4,63.3,87.2,104,94,23.795018,86.430942,1
24.7,43.4,36.9,68,98,23.796059,86.4303,0
50.1,91.5,687.5,168,83,23.795959,86.42999,3
25.5,47.0,17.8,78,97,23.796699,86.431313,0
27.9,59.5,16.0,65,98,23.794777,86.430048,0
30.9,71.3,102.0,105,93,23.795639,86.430561,1
24.6,49.5,39.3,62,99,23.794883,86.431304,0
32.3,70.2,138.1,91,93,23.796408,86.43034,1
37.4,85.1,329.7,138,91,23.796102,86.429746,2
33.5,64.4,101.0,101,94,23.794888,86.429929,1
24.7,52.1,41.6,85,99,23.796025,86.431216,0
21.6,58.5,27.3,85,97,23.795301,86.430157,0
30.9,68.8,135.2,94,94,23.795886,86.430846,1
32.4,70.2,122.2,106,93,23.79654,86.429945,1
26.1,57.6,20.5,72,99,23.796163,86.431182,0
35.9,60.3,57.9,109,93,23.796114,86.431258,1
40.7,77.8,313.8,125,91,23.79561,86.429458,2
30.2,68.2,70.8,90,94,23.796622,86.430355,1
32.3,60.3,94.9,103,93,23.795928,86.431194,1
27.7,45.1,17.5,68,98,23.796376,86.43111,0
42.3,94.1,691.5,147,77,23.795415,86.430978,3
52.8,94.7,508.0,142,75,23.795187,86.430444,3
23.0,54.2,47.2,74,96,23.795717,86.430638,0
30.4,67.4,82.5,95,93,23.796244,86.430722,1
27.0,46.0,20.4,89,99,23.79492,86.430728,0
26.3,58.4,48.3,78,96,23.795751,86.431076,0
39.1,90.6,247.5,114,89,23.795846,86.431043,2
31.3,68.0,96.8,105,94,23.795657,86.430317,1
31.8,72.2,146.3,100,93,23.79502,86.429933,1
20.9,45.0,13.9,81,99,23.795593,86.430645,0
31.0,63.4,120.4,94,93,23.794845,86.431115,1
31.2,64.4,62.4,99,93,23.796668,86.430654,1
38.5,79.4,261.6,131,91,23.795187,86.430578,2
25.8,54.0,25.3,75,97,23.796422,86.430399,0
30.5,64.4,118.5,93,94,23.796169,86.431081,1
40.0,81.3,384.6,130,91,23.795196,86.431063,2
37.4,75.3,343.1,116,91,23.795161,86.430814,2
41.5,84.3,250.7,118,89,23.795711,86.429867,2
30.3,44.0,36.7,77,99,23.796195,86.431233,0
33.0,62.0,118.8,96,94,23.796418,86.430677,1
37.5,77.4,288.8,113,89,23.794926,86.429506,2
26.9,42.9,16.2,82,98,23.79537,86.431236,0
21.8,41.4,19.3,73,96,23.794985,86.431209,0
27.6,44.8,42.3,74,96,23.79586,86.429552,0
54.4,100.3,400.2,145,76,23.7949,86.429406,3
39.9,85.3,310.0,117,91,23.796611,86.430471,2
33.7,61.8,145.3,106,93,23.79528,86.429447,1
52.9,92.4,948.8,153,79,23.795375,86.430956,3
48.2,92.6,480.3,157,74,23.795604,86.429941,3
45.9,95.8,586.4,178,79,23.794997,86.429531,3
37.1,77.4,385.0,133,91,23.795702,86.430028,2
23.4,64.4,28.8,79,98,23.796497,86.430821,0
33.9,62.6,148.0,91,93,23.79639,86.430484,1
35.7,75.5,322.0,111,90,23.794858,86.430461,2
37.2,76.8,351.6,138,88,23.795553,86.431391,2
25.1,46.6,31.5,65,97,23.79578,86.429939,0
39.9,76.7,260.6,117,91,23.796536,86.429643,2
33.5,60.8,89.0,106,94,23.796137,86.429671,1
33.3,66.8,113.2,107,94,23.795837,86.429922,1
21.7,42.9,38.6,89,96,23.794994,86.431072,0
31.1,62.9,61.5,97,93,23.796325,86.431174,1
33.5,74.1,135.2,107,94,23.795344,86.429928,1
19.0,52.0,34.8,61,97,23.796558,86.431364,0
42.8,86.4,315.0,115,88,23.795893,86.431161,2
37.6,87.3,247.9,122,90,23.796101,86.429628,2
22.3,48.2,38.2,65,97,23.796504,86.430716,0
41.6,73.5,289.7,120,91,23.795099,86.430066,2
26.4,54.7,29.5,87,96,23.796307,86.429409,0
33.3,63.0,95.0,93,93,23.795865,86.430073,1
29.5,47.1,33.5,77,97,23.794835,86.429961,0
44.4,98.4,869.1,159,81,23.795002,86.431241,3
33.3,66.5,63.0,106,93,23.79637,86.429944,1
35.4,78.8,93.8,108,93,23.795283,86.430368,1
36.6,88.8,250.5,133,88,23.795664,86.429724,2
20.9,42.8,49.5,70,98,23.795932,86.430977,0
30.9,66.1,134.0,100,93,23.796372,86.429931,1
23.8,49.9,29.3,64,97,23.796545,86.430969,0
23.4,58.8,36.9,75,96,23.794721,86.429556,0
41.4,78.2,231.4,111,88,23.795542,86.43099,2
34.8,71.1,59.0,93,94,23.796172,86.430844,1
31.1,78.2,116.6,96,93,23.796146,86.430873,1
31.1,67.3,72.9,108,94,23.795857,86.430289,1
40.9,83.9,279.2,123,91,23.795819,86.430981,2
22.8,45.2,49.5,84,98,23.795746,86.429818,0
32.3,73.6,143.8,106,94,23.796348,86.430022,1
32.4,68.8,105.2,92,93,23.795827,86.429659,1
20.6,57.6,48.3,70,98,23.795952,86.429915,0
26.6,51.7,10.2,74,96,23.796018,86.429732,0
45.7,96.0,531.6,175,80,23.795371,86.430111,3
34.9,61.6,68.0,90,94,23.795154,86.429899,1
39.1,88.0,364.2,117,91,23.795811,86.431309,2
30.0,63.8,101.1,106,93,23.795155,86.430183,1
21.0,46.0,43.4,75,96,23.796199,86.429478,0
36.5,72.6,89.0,92,93,23.795638,86.429676,1
21.2,60.3,35.5,76,96,23.796244,86.430972,0
35.4,93.1,364.2,129,90,23.796595,86.430928,2
33.3,65.2,86.6,104,94,23.795086,86.429951,1
19.6,47.1,21.4,74,97,23.795741,86.429688,0
25.7,42.2,43.9,67,97,23.795192,86.431358,0
30.9,58.3,74.6,104,94,23.795981,86.42944,1
49.9,100.0,788.7,179,73,23.794932,86.430632,3
21.3,42.5,16.6,77,99,23.79545,86.430885,0
29.0,53.9,16.5,60,96,23.79533,86.430604,0
29.2,49.0,49.6,60,96,23.796383,86.431392,0
34.2,67.4,146.4,107,94,23.795153,86.429778,1
42.3,87.8,263.8,135,90,23.796213,86.430272,2
37.2,79.0,285.2,129,90,23.795766,86.430895,2
32.2,68.6,78.8,102,93,23.796381,86.430499,1
34.3,65.0,100.7,100,93,23.794985,86.431267,1
21.9,49.4,12.9,87,97,23.795702,86.430968,0
25.6,58.0,24.2,74,97,23.796269,86.429765,0
34.6,83.7,219.3,135,90,23.796332,86.430613,2
28.0,55.4,30.3,63,99,23.796519,86.430387,0
28.8,42.3,36.5,80,98,23.795287,86.430671,0
30.9,64.0,143.2,91,94,23.794813,86.429796,1
28.6,51.4,34.1,68,99,23.795668,86.430802,0
34.4,63.6,123.0,95,94,23.795187,86.430314,1
33.0,66.2,88.6,96,94,23.795421,86.429694,1
22.3,62.4,38.6,60,97,23.79519,86.430721,0
37.4,90.1,231.7,113,90,23.795478,86.429744,2
27.3,37.3,46.1,62,96,23.794761,86.430763,0
39.6,79.4,273.5,125,89,23.795333,86.431251,2
34.6,67.0,81.4,93,93,23.796642,86.430046,1
32.1,65.7,108.1,100,93,23.795933,86.431287,1
23.8,52.3,29.1,61,98,23.795394,86.429675,0
41.1,85.4,314.4,115,91,23.794727,86.43125,2
49.5,97.3,419.0,156,82,23.796693,86.430989,3
41.9,83.6,350.2,120,91,23.795963,86.431173,2
24.0,40.0,40.1,71,97,23.796189,86.430509,0
26.3,49.4,11.0,74,97,23.796672,86.429522,0
22.5,45.0,34.1,78,98,23.79497,86.429923,0
52.1,91.8,461.3,167,72,23.79539,86.429815,3
36.4,80.1,283.0,120,88,23.795556,86.429557,2
51.3,95.6,412.2,166,82,23.795574,86.429713,3
22.8,52.1,47.9,81,97,23.794904,86.430509,0
24.3,46.1,36.4,71,96,23.796133,86.429747,0
37.6,85.5,298.6,112,90,23.796545,86.431002,2
26.6,49.5,28.4,68,96,23.795301,86.430571,0
34.4,72.7,115.9,94,94,23.79614,86.430016,1
36.2,82.4,357.0,111,91,23.795035,86.431343,2
33.7,73.3,58.1,99,94,23.794944,86.430905,1
20.0,39.8,32.7,84,96,23.795822,86.431163,0
32.6,70.0,50.3,95,94,23.796489,86.430117,1
42.0,85.6,349.0,110,90,23.795366,86.430432,2
26.2,59.5,24.6,66,96,23.795586,86.429457,0
38.1,79.8,259.7,114,88,23.796486,86.430881,2
31.6,65.3,105.5,95,94,23.794925,86.430175,1
21.1,50.4,10.1,74,97,23.796074,86.430049,0
27.6,48.4,49.1,64,97,23.794828,86.430415,0
54.5,90.2,474.2,169,85,23.795074,86.429509,3
30.4,63.7,136.1,94,93,23.795948,86.429981,1
29.5,48.3,19.2,72,99,23.795046,86.430617,0
44.3,96.1,724.5,149,76,23.796279,86.430719,3
28.4,52.9,39.5,89,98,23.795328,86.429916,0
30.2,61.6,143.6,91,94,23.796137,86.431108,1
23.4,42.7,47.9,63,98,23.795797,86.430967,0
35.3,84.5,288.2,118,91,23.795221,86.431074,2
31.5,70.0,91.1,93,93,23.795225,86.430378,1
32.8,74.4,97.5,90,94,23.795278,86.429403,1
42.2,83.4,221.9,133,88,23.796121,86.430455,2
35.0,68.8,57.3,106,94,23.795342,86.430131,1
33.1,75.2,135.6,92,94,23.796633,86.429956,1
54.4,94.7,877.7,150,85,23.795354,86.430436,3
34.1,65.5,55.3,96,94,23.796515,86.430525,1
42.3,80.9,231.9,124,88,23.795595,86.430323,2
24.9,50.3,26.4,85,98,23.795431,86.430693,0
24.0,41.1,21.8,79,99,23.795286,86.429555,0
19.6,53.6,49.3,61,96,23.795391,86.430232,0
29.3,43.0,21.6,78,98,23.795588,86.43019,0
54.7,94.1,403.0,173,75,23.795143,86.431034,3
32.8,59.2,54.3,90,94,23.796632,86.42978,1
41.3,100.6,810.0,152,83,23.795591,86.430054,3
37.0,90.3,369.9,126,91,23.796082,86.43047,2
20.4,40.4,14.0,70,99,23.795211,86.429613,0
41.7,87.8,339.6,113,90,23.795458,86.430831,2
24.2,43.2,39.9,63,97,23.796397,86.429636,0
20.4,55.6,35.6,74,96,23.795489,86.431305,0
24.1,59.7,35.0,85,97,23.795233,86.429555,0
32.5,71.1,135.7,103,94,23.795492,86.430708,1
32.6,65.3,73.8,95,94,23.79638,86.430448,1
33.9,72.1,132.9,90,94,23.796621,86.430681,1
21.7,59.7,37.0,68,97,23.796042,86.431258,0
19.7,51.7,30.9,77,98,23.794832,86.430274,0
33.8,71.6,74.5,109,94,23.795206,86.430853,1
37.3,83.1,308.6,136,88,23.795171,86.43112,2
30.6,68.9,82.8,98,94,23.796502,86.430625,1
42.8,95.1,501.5,154,75,23.79602,86.429955,3
48.8,91.6,565.0,167,80,23.796641,86.429449,3
41.2,89.4,247.6,131,91,23.795308,86.430203,2
39.2,78.5,323.4,123,91,23.796269,86.430829,2
38.2,86.9,253.9,127,91,23.795066,86.430438,2
26.4,43.9,31.4,77,99,23.796394,86.42957,0
37.9,88.2,323.9,133,91,23.796476,86.42973,2
27.8,57.6,23.6,65,97,23.79538,86.431247,0
41.2,78.8,319.9,112,88,23.796271,86.430775,2
34.0,67.3,53.1,103,94,23.7958,86.429979,1
38.1,70.5,136.0,105,94,23.79523,86.429674,1
44.1,98.2,472.0,150,80,23.795285,86.42966,3
34.5,57.3,63.9,100,94,23.796307,86.430575,1
53.5,93.1,869.0,152,81,23.794712,86.430974,3
41.4,83.9,229.4,125,90,23.794959,86.429754,2
30.3,51.6,43.6,76,96,23.794711,86.429507,0
27.1,55.3,30.7,80,99,23.795312,86.430478,0
29.5,63.8,97.4,91,94,23.794903,86.429623,1
32.3,68.9,90.1,93,93,23.795245,86.43117,1
33.6,75.1,83.3,104,94,23.795319,86.430912,1
35.4,77.5,386.7,117,91,23.795405,86.429722,2
21.5,48.1,28.4,76,97,23.794893,86.430529,0
40.5,76.8,243.1,128,91,23.795695,86.430427,2
26.8,49.9,31.1,63,96,23.796153,86.430726,0
21.2,54.6,26.0,82,98,23.796073,86.429573,0
26.1,54.8,37.5,80,97,23.796487,86.430567,0
20.0,50.7,37.1,72,97,23.794787,86.430924,0
35.2,61.3,79.9,103,93,23.794921,86.43112,1
53.1,95.9,476.7,177,81,23.796138,86.429861,3
31.2,64.6,130.8,101,93,23.795909,86.430354,1
28.9,50.8,29.4,75,97,23.796282,86.429906,0
31.2,63.7,139.9,105,94,23.796294,86.431279,1
37.5,85.7,229.5,111,89,23.795393,86.430419,2
46.4,97.8,939.6,142,86,23.794919,86.42988,3
23.9,56.4,43.4,85,97,23.794781,86.43049,0
29.1,48.0,29.9,82,99,23.795114,86.431103,0
38.1,88.9,198.8,120,91,23.79572,86.429839,2
23.6,43.0,37.0,61,96,23.795308,86.429908,0
33.4,65.0,54.3,104,94,23.794787,86.430922,1
25.5,41.1,26.7,70,98,23.796067,86.430283,0
40.0,83.0,180.9,110,90,23.795564,86.42966,2
49.2,90.4,684.9,179,78,23.795165,86.4305,3
53.9,90.6,405.5,147,85,23.795543,86.429458,3
